"fileName","rows","columns"
"10.xlsx_MultiCS_SAMrating",51,17
"100.dat",22,8
"101.csv",203,9
"11.csv",624,4
"12.xls_EARatings_LowNegativeVideo.csv",116,124
"13.txt",601,9
"14.csv",4218,10
"15.xls_Sheet1",44,5
"15.xls_Sheet2",0,0
"15.xls_Sheet3",0,0
"16.xls_CS+ pleasure",32,5
"18.xlsx_photo-to-person",31,4
"18.xlsx_photo-to-photo",71,13
"18.xlsx_gfmt",33,4
"19.csv",5760,15
"2.xlsx_gaze direction",61,18
"2.xlsx_pleasantness",61,6
"2.xlsx_arousal",61,6
"2.xlsx_dominance",61,6
"2.xlsx_warmth",61,6
"2.xlsx_emotion",61,15
"20.csv",36559,15
"21.csv",40711,17
"23.xlsx_data",203,56
"23.xlsx_variables",57,3
"24.csv",30,18
"26.csv",92156,17
"27.xlsx_TORSION STM",15,4
"28.csv",106,128
"29.xlsx_Data S1",161,18
"3.xlsx_P1",77,13
"3.xlsx_P2",74,13
"3.xlsx_P3",102,13
"3.xlsx_P4",98,13
"3.xlsx_P5",98,13
"3.xlsx_P6",98,13
"3.xlsx_P7",98,13
"3.xlsx_P8",103,13
"3.xlsx_P9",98,13
"3.xlsx_P10",98,13
"3.xlsx_P11",98,13
"3.xlsx_P12",99,13
"3.xlsx_P13",98,13
"3.xlsx_P14",98,13
"3.xlsx_P15",99,13
"3.xlsx_P16",98,13
"30.csv",10080,65
"31.csv",5760,16
"32.xlsx_Blad1",21,23
"34.xlsx_Final Data Clean",24,69
"35.xls_READ_ME",88,21
"35.xls_exp3_combined",592,130
"36.csv",11200,20
"37.csv",120,16
"38.csv",200,10
"39.csv",300,45
"4.txt",109,5
"41.csv",701,16
"42.csv",61776,14
"43.csv",99,109
"44.csv",78,14
"45.csv",91,23
"46.csv",242,17
"47.csv",619,25
"48.csv",36,5
"49.csv",357,4
"5.csv",175,124
"50.csv",270,23
"51.csv",351,6
"52.csv",171,6
"53.csv",56,12
"54.csv",175,13
"55.csv",211,23
"56.csv",60,1
"57.txt",30,4
"58.csv",52,15
"59.csv",159,42
"60.txt",209,8
"62.csv",80,19
"63.txt",474,13
"64.xlsx_Key",10,2
"64.xlsx_Study 3",61,33
"64.xlsx_Awareness",61,7
"65.csv",198,21
"66.csv",40,34
"67.csv",1380,37
"68.csv",160,1
"69.csv",9792,15
"70.csv",272,103
"71.txt",74115,1
"72.csv",160,1
"73.csv",41,483
"74.csv",166,31
"75.csv",6240,12
"76.csv",459320,23
"77.xlsx_Experiment_1_individual",25,71
"77.xlsx_Experiment_2_joint_accuracy",25,71
"77.xlsx_Experiment_3_joint_speed_acc",25,71
"77.xlsx_Experiment_4_joint_non-recipr",25,71
"77.xlsx_Variables_key",72,3
"79.csv",3312,15
"80.csv",422,240
"81.csv",121,73
"82.csv",14547,6
"83.dat",21,50
"84.csv",164,30
"86.dat",18,50
"87.csv",160,1
"88.xlsx_data_dictionary",24,3
"88.xlsx_raw_data",202,23
"89.csv",446320,16
"9.xlsx_information",17,2
"9.xlsx_Exp1",9217,15
"9.xlsx_Exp2",9217,17
"9.xlsx_Exp3",9217,18
"9.xlsx_Exp4",9217,19
"9.xlsx_Exp5",7681,18
"9.xlsx_Exp6",7681,18
"91.csv",42504,19
"92.csv",317,36
"93.csv",600,89
"94.xlsx_Experiment_1_individual",30,11
"94.xlsx_Experiment_2_joint_accuracy",30,11
"94.xlsx_Experiment_3_joint_speed_acc",26,11
"94.xlsx_Experiment_4_joint_non-recipr",30,11
"95.xlsx_data_dictionary",19,3
"95.xlsx_raw_data",50,18
"96.csv",48,13
"97.csv",7,1
"98.csv",265,91
"99.csv",227,7
