year,hits
1800,490
1801,367
1802,420
1803,526
1804,454
1805,472
1806,457
1807,372
1808,509
1809,756
1810,560
1811,639
1812,798
1813,691
1814,716
1815,513
1816,543
1817,580
1818,536
1819,455
1820,487
1821,662
1822,698
1823,1352
1824,1739
1825,1681
1826,1947
1827,2734
1828,2944
1829,2895
1830,2722
1831,2925
1832,2996
1833,3429
1834,3409
1835,3575
1836,3472
1837,4414
1838,3966
1839,4088
1840,4433
1841,4877
1842,4986
1843,5328
1844,5487
1845,5691
1846,7672
1847,10129
1848,10126
1849,9307
1850,10756
1851,11351
1852,11849
1853,12145
1854,12428
1855,12470
1856,12959
1857,13387
1858,12609
1859,12876
1860,12137
1861,11190
1862,12043
1863,12812
1864,11723
1865,10803
1866,12661
1867,13799
1868,14037
1869,13246
1870,15507
1871,13945
1872,16833
1873,17820
1874,17516
1875,17847
1876,24772
1877,20970
1878,21349
1879,22806
1880,26549
1881,23551
1882,23456
1883,24647
1884,26151
1885,26724
1886,27928
1887,29783
1888,31739
1889,32572
1890,33594
1891,32979
1892,32639
1893,35665
1894,39123
1895,39930
1896,41968
1897,41624
1898,43385
1899,43544
1900,42331
1901,45858
1902,46857
1903,47961
1904,48637
1905,48709
1906,51021
1907,52350
1908,53601
1909,56060
1910,55990
1911,57334
1912,57375
1913,57730
1914,57074
1915,54329
1916,51890
1917,49041
1918,47258
1919,49791
1920,56999
1921,63560
1922,67930
1923,70732
1924,74701
1925,77749
1926,82625
1927,86462
1928,88918
1929,92954
1930,97712
1931,98621
1932,101306
1933,101188
1934,101760
1935,104878
1936,108514
1937,108242
1938,110076
1939,107876
1940,101169
1941,96957
1942,92752
1943,84916
1944,80560
1945,75962
1946,86867
1947,98196
1948,111800
1949,123273
1950,135047
1951,145223
1952,148185
1953,157572
1954,166869
1955,172910
1956,179907
1957,191089
1958,200632
1959,214721
1960,227028
1961,237337
1962,247725
1963,268649
1964,283375
1965,301350
1966,321592
1967,341893
1968,358617
1969,388969
1970,445372
1971,422587
1972,447807
1973,462109
1974,472188
1975,485069
1976,499889
1977,523640
1978,545724
1979,563541
1980,591057
1981,618753
1982,635387
1983,667228
1984,699054
1985,727218
1986,754285
1987,798041
1988,831413
1989,871238
1990,913536
1991,925350
1992,959031
1993,993996
1994,1029163
1995,1090764
1996,1134835
1997,1170350
1998,1190010
1999,1203913
2000,1331127
2001,1325614
2002,1371776
2003,1475842
2004,1599831
2005,1701443
2006,1862472
2007,1969838
2008,2101416
2009,2285852
2010,2538199
2011,2500247
2012,2702850
2013,2917202
2014,3080354
2015,3231715
2016,3453469
2017,3645723
2018,3919488
2019,4255219
2020,4648143
